c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C17269,GDP-D-arabinopyranose;,C15H23N5O15P2,575.0666,575.32,map00520  Amino sugar and nucleotide sugar metabolism,R12825,2.7.7.-,
C17271,Glucohirsutin;,C16H31NO10S3,493.1110,493.62,,,,
C17272,Glucoarabin;,C17H33NO10S3,507.1267,507.65,,,,
C17273,Glucoaubrietin;,C15H21NO10S2,439.0607,439.46,,,,
C17274,Glucobarbarin;,C15H21NO10S2,439.0607,439.46,,,,
C17275,Glucosisymbrin;,C10H19NO10S2,377.0450,377.39,,,,
C17276,Retinol-(cellular-retinol-binding-protein),C20H30O,286.2297,286.45,,R04514,2.3.1.135,
C17277,(+)-Valencene,C15H24,204.1878,204.35,map00909  Sesquiterpenoid and triterpenoid biosynthesis,R08691,4.2.3.73,
C17278,Ximenic acid;,C26H50O2,394.3811,394.67,,,,
C17279,Ximenoyl-CoA;,C47H84N7O17P3S,1143.4857,1144.19,map01040  Biosynthesis of unsaturated fatty acids,,,
C17280,GDP-4-keto-6-deoxy-D-lyxo-heptose,C17H25N5O16P2,617.0772,617.35,map01250  Biosynthesis of nucleotide sugars,,,
C17281,GDP-6-deoxy-D-manno-heptose,C17H27N5O16P2,619.0928,619.37,map01250  Biosynthesis of nucleotide sugars,,,
C17302,AL-294;,C21H25ClO3,360.1492,360.87,map07222  Peroxisome proliferator-activated receptor (PPAR) agonists,,,
C17303,AL-321;,C20H21NO3S,355.1242,355.45,map07222  Peroxisome proliferator-activated receptor (PPAR) agonists,,,
C17309,Cilazaprilat;,C20H27N3O5,389.1951,389.44,,,,
C17322,tRNA containing 2-thiouridine;,C9H13N2O8PS(C5H8O6PR)n(C5H8O6PR)n,,,map04122  Sulfur relay system,R08700 R08701,2.8.1.13,
C17323,tRNA containing 5-carboxymethylaminomethyl-2-thiouridine;,C12H18N3O10PS(C5H8O6PR)n(C5H8O6PR)n,,,,R08701 R08702,1.5.3.-,
C17324,tRNA adenine;,C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n,,,map00908  Zeatin biosynthesis,R00596 R00599 R01122 R10223 R10648,2.1.1.55        2.3.1.234       2.5.1.75        3.5.4.33,
C17325,tRNA cytosine,C9H14N3O8P(C5H8O6PR)n(C5H8O6PR)n,,,,R00595 R10232,2.1.1.202       2.1.1.203       2.1.1.204       3.5.4.35,
C17326,"CDP-4-dehydro-3,6-dideoxy-D-glucose epimer",C15H23N3O14P2,531.0655,531.30,map00520  Amino sugar and nucleotide sugar metabolism,R08708 R08709 R08710,1.1.1.-         5.1.3.-,
C17327,CDP-ascarylose,C15H25N3O14P2,533.0812,533.32,map00520  Amino sugar and nucleotide sugar metabolism,R08709 R08710,1.1.1.-,
C17328,UDP-4-keto-rhamnose,C15H22N2O16P2,548.0445,548.29,map00520  Amino sugar and nucleotide sugar metabolism,R08704 R08705,1.1.1.-         5.1.3.-,
C17331,"7alpha,24-Dihydroxy-4-cholesten-3-one",C27H44O3,416.3290,416.64,map00120  Primary bile acid biosynthesis,R08721,1.1.1.181,
C17332,"7alpha,25-Dihydroxy-4-cholesten-3-one",C27H44O3,416.3290,416.64,map00120  Primary bile acid biosynthesis,R08723,1.1.1.181,
C17333,3beta-Hydroxy-5-cholestenoate;,C27H44O3,416.3290,416.64,map00120  Primary bile acid biosynthesis,R08726 R08727,1.14.14.29,
C17335,"3beta,7alpha-Dihydroxy-5-cholestenoate;",C27H44O4,432.3240,432.63,map00120  Primary bile acid biosynthesis,R08727 R08728,1.1.1.181       1.14.14.29,
C17336,"7alpha,26-Dihydroxy-4-cholesten-3-one",C27H44O3,416.3290,416.64,map00120  Primary bile acid biosynthesis,R08724 R08725,1.1.1.181,
C17337,7alpha-Hydroxy-3-oxo-4-cholestenoate,C27H42O4,430.3083,430.62,map00120  Primary bile acid biosynthesis,R08725 R08728,1.1.1.181,
C17339,"4-Cholesten-7alpha,12alpha-diol-3-one;",C27H44O3,416.3290,416.64,map00120  Primary bile acid biosynthesis,R04823 R04826 R04827,1.3.1.3         1.3.99.5        1.14.14.139,
C17343,"(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA",C48H80N7O20P3S,1199.4392,1200.17,map00120  Primary bile acid biosynthesis,R08734 R08735,1.17.99.3       5.1.99.4,
C17345,"(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C48H80N7O19P3S,1183.4443,1184.17,map00120  Primary bile acid biosynthesis,R08738 R08739,5.1.99.4        6.2.1.7,
C17346,"(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C48H80N7O19P3S,1183.4443,1184.17,map00120  Primary bile acid biosynthesis,R08739 R08740,1.17.99.3       5.1.99.4,
C17349,Guanidine;,CH5N3,59.0483,59.07,,R09785 R10082,1.14.20.7,
C17350,Nocardicin B,C23H24N4O9,500.1543,500.46,,,,
C17351,Nocardicin C,C23H26N4O8,486.1751,486.47,map00261  Monobactam biosynthesis,R10882 R10883 R13423,1.14.15.43      5.1.1.14,
C17352,Isonocardicin C,C23H26N4O8,486.1751,486.47,map00261  Monobactam biosynthesis,R10881 R10883,2.5.1.38        5.1.1.14,
C17353,Nocardicin D,C23H23N3O9,485.1434,485.44,,,,
C17354,Nocardicin F,C19H17N3O7,399.1067,399.35,,,,
C17355,Nocardicin G,C19H19N3O6,385.1274,385.37,map00261  Monobactam biosynthesis,R10880 R10881 R10903,2.5.1.38,
C17356,2-Formyloxymethylclavam,C7H9NO4,171.0532,171.15,,,,
C17357,2-Hydroxymethylclavam,C6H9NO3,143.0582,143.14,,,,
C17358,Clavam-2-carboxylate,C6H7NO4,157.0375,157.12,,,,
C17359,8-Hydroxyalanylclavam,C8H12N2O5,216.0746,216.19,,,,
C17360,Alanylclavam,C8H12N2O4,200.0797,200.19,,,,
C17361,2-Hydroxyethylclavam;,C7H11NO3,157.0739,157.17,,,,
C17362,Clavamycin B,C13H22N4O8,362.1438,362.34,,,,
C17363,Clavamycin C,C13H22N4O8,362.1438,362.34,,,,
C17364,Clavamycin D,C13H21N3O6,315.1430,315.32,,,,
C17365,Clavamycin E,C11H17N3O6,287.1117,287.27,,,,
C17366,"(2S,5S)-trans-Carboxymethylproline;",C7H11NO4,173.0688,173.17,map00332  Carbapenem biosynthesis,R10485 R10556,2.3.1.226       6.3.3.6,
C17367,"(3S,5S)-Carbapenam-3-carboxylic acid;",C7H9NO3,155.0582,155.15,map00332  Carbapenem biosynthesis,R10415 R10556,1.14.20.3       1.14.20.-       6.3.3.6,
C17368,8-Dehydroxythienamycin;,C11H16N2O3S,256.0882,256.32,map00332  Carbapenem biosynthesis,R10743 R10744,,
C17369,Northienamycin,C10H14N2O4S,258.0674,258.30,map00332  Carbapenem biosynthesis,R10756,,
C17370,PS-5;,C13H18N2O4S,298.0987,298.36,,,,
C17371,PS-6;,C14H20N2O4S,312.1144,312.39,,,,
C17372,Epithienamycin A,C13H18N2O5S,314.0936,314.36,,,,
C17373,OA-6129 B1,C20H31N3O8S,473.1832,473.54,map00332  Carbapenem biosynthesis,R10750 R10751,2.8.2.-,
C17374,OA-6129 B2,C20H31N3O8S,473.1832,473.54,map00332  Carbapenem biosynthesis,R10735 R10750,1.14.20.-,
C17375,OA-6129 D,C20H33N3O8S,475.1988,475.56,,,,
C17376,OA-6129 E,C21H35N3O8S,489.2145,489.59,,,,
C17377,N-Acetylthienamycin,C13H18N2O5S,314.0936,314.36,map00332  Carbapenem biosynthesis,R10745,2.3.1.-,
C17378,O-Acylpseudotropine,C9H14NO2R,,,,R08713,2.3.1.186,
C17379,Lead oxide,PbO,223.9716,223.20,,,,
C17380,Diacetylaminoazotoluene;,C18H19N3O2,309.1477,309.36,,,,
C17381,Dihydroxyaluminum,Al(OH)2,60.9870,61.00,,,,
C17382,Ferrous lactate,C6H10FeO6,233.9827,233.98,,,,
C17383,Cobaltous sulfate,CoSO4,154.8849,155.00,,,,
C17384,Citronellal,C10H18O,154.1358,154.25,,,,
C17385,2-Methoxy-5-nitrophenol;,C7H7NO4,169.0375,169.13,,,,
C17386,2-Methoxy-4-nitrophenol;,C7H7NO4,169.0375,169.13,,,,
C17387,Cycleanine,C38H42N2O6,622.3043,622.75,,,,
C17388,L-Galacturonic acid calcium salt,C12H18CaO14,426.0322,426.34,,,,
C17389,Zinc lactate,C6H10O6Zn,241.9769,243.52,,,,
C17390,Polybutene,(C4H8)x,,,,,,
C17391,Sakuranin;,C22H24O10,448.1369,448.42,,,,
C17392,Calcium sulfide,CaS,71.9347,72.15,,,,
C17393,Methyl hesperidin,C29H36O15,624.2054,624.59,,,,
C17394,Karounidiol,C30H48O2,440.3654,440.70,,,,
C17395,Clavamycin F,C15H24N4O7,372.1645,372.37,,,,
C17396,Epithienamycin B,C13H16N2O5S,312.0780,312.34,,,,
C17397,Epithienamycin C,C13H18N2O5S,314.0936,314.36,,,,
C17398,Epithienamycin D,C13H16N2O5S,312.0780,312.34,,,,
C17399,Epithienamycin F,C13H18N2O8S2,394.0505,394.43,map00332  Carbapenem biosynthesis,R10741 R10746,1.14.20.-       2.3.1.-,
C17400,Asparenomycin A,C14H16N2O6S,340.0729,340.35,,,,
C17401,Cobalt-factor III,C43H46CoN4O16,933.2241,933.77,map00860  Porphyrin metabolism,R05808 R08716 R11580,2.1.1.151       2.1.1.272,
C17402,Penicillin F;,C14H20N2O4S,312.1144,312.39,,,,
C17403,Penicillin K;,C16H26N2O4S,342.1613,342.46,,,,
C17404,Penicillin X,C16H18N2O5S,350.0936,350.39,,,,
C17405,Penicillin O,C13H18N2O4S2,330.0708,330.43,,,,
C17407,Tenofovir,C9H14N5O4P,287.0783,287.21,,,,
C17409,Chinese gallotannin,C76H52O46,1700.1730,1701.19,,,,
C17410,Platycodin D,C57H92O28,1224.5775,1225.32,,,,
C17411,o-Methylpsychotrine;,C29H38N2O4,478.2832,478.62,,,,
C17412,Shikonin,C16H16O5,288.0998,288.29,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R09044,,
C17413,Acetylshikonin,C18H18O6,330.1103,330.33,,,,
C17414,Isobutylshikonin;,C20H22O6,358.1416,358.38,,,,
C17415,"beta,beta-Dimethylacrylshikonin;",C21H22O6,370.1416,370.39,,,,
C17416,Astrapterocarpan;,C17H16O5,300.0998,300.30,,,,
C17417,Onjisaponin F;,C75H112O36,1588.6933,1589.67,,,,
C17418,Genisteine;,C15H26N2,234.2096,234.38,,,,
C17419,Soyasapogenol A,C30H50O4,474.3709,474.71,,,,
C17420,Soyasapogenol E,C30H48O3,456.3603,456.70,,,,
C17421,Soyasapogenol F;,C30H50O3,458.3760,458.72,,,,
C17422,Soyasapogenol C;,C30H48O2,440.3654,440.70,,,,
C17423,Soyasapogenol D,C31H52O3,472.3916,472.74,,,,
C17424,Lindenenone,C15H16O2,228.1150,228.29,,,,
C17425,Linderalactone,C15H16O3,244.1099,244.28,,,,
C17426,Dicentrine,C20H21NO4,339.1471,339.38,,,,
C17427,Kanokonol,C15H26O2,238.1933,238.37,,,,
C17428,Kanokoside A,C21H32O12,476.1894,476.47,,,,
C17429,Kanokoside B;,C21H34O12,478.2050,478.49,,,,
C17430,Kanokoside C,C27H42O17,638.2422,638.61,,,,
C17431,Kanokoside D,C27H44O16,624.2629,624.63,,,,
C17432,all-trans-Decaprenyl diphosphate,C50H84O7P2,858.5692,859.14,map00900  Terpenoid backbone biosynthesis,R08747 R09249,2.5.1.91        2.5.1.-,
C17433,Tricosane;,C23H48,324.3756,324.63,,,,
C17434,"di-trans,poly-cis-Hexaprenyl diphosphate;",C30H52O7P2,586.3188,586.68,,R08749 R08750,2.5.1.-,
C17435,"di-trans,poly-cis-Pentaprenyl diphosphate;",C25H44O7P2,518.2562,518.56,,R08748 R08749,2.5.1.-,
C17436,"di-trans,poly-cis-Heptaprenyl diphosphate;",C35H60O7P2,654.3814,654.79,,R08750 R08751,2.5.1.-,
C17437,"di-trans,poly-cis-Octaprenyl diphosphate;",C40H68O7P2,722.4440,722.91,,R08751 R08752,2.5.1.-,
C17438,"di-trans,poly-cis-Nonaprenyl diphosphate;",C45H76O7P2,790.5066,791.03,,R08752 R08753,2.5.1.-,
C17439,Dihydrogeranylgeranyl diphosphate,C20H38O7P2,452.2093,452.46,,R08754 R08755,1.3.1.-,
C17440,Tetrahydrogeranylgeranyl diphosphate,C20H40O7P2,454.2249,454.47,,R08755 R08756,1.3.1.-,
C17441,Polygalacin D,C57H92O27,1208.5826,1209.32,,,,
C17442,Isomatrine,C15H24N2O,248.1889,248.36,,,,
C17443,Platycodin A,C59H94O29,1266.5881,1267.36,,,,
C17444,Kurarinol,C26H32O7,456.2148,456.53,,,,
C17445,Kuraridinol,C26H32O7,456.2148,456.53,,,,
C17446,Kurarinone,C26H30O6,438.2042,438.51,,,,
C17447,"(3S,9Z)-1,9-Heptadecadiene-4,6-diyn-3-ol;",C17H24O,244.1827,244.37,,,,
C17449,Astilbin;,C21H22O11,450.1162,450.39,,,,
C17450,Rehmaionoside A,C19H34O8,390.2254,390.47,,,,
C17451,Rehmaionoside B,C19H34O8,390.2254,390.47,,,,
C17452,Rehmaionoside C,C19H32O8,388.2097,388.45,,,,
C17453,Paeoniflorigenone,C17H18O6,318.1103,318.32,,,,
C17454,Paeonilactone A,C10H14O4,198.0892,198.22,,,,
C17455,Paeonilactone B,C10H12O4,196.0736,196.20,,,,
C17456,Paeonilactone C,C17H18O6,318.1103,318.32,,,,
C17457,Albiflorin,C23H28O11,480.1632,480.46,,,,
C17458,Gallotannin;,C27H24O18,636.0963,636.47,,,,
C17459,Alisol A,C30H50O5,490.3658,490.71,,,,
C17460,Alisol B,C30H48O4,472.3553,472.70,,,,
C17461,Alisol C,C30H46O5,486.3345,486.68,,,,
C17462,Alismol,C15H24O,220.1827,220.35,,,,
C17463,Nupharidine,C15H23NO2,249.1729,249.35,,,,
C17464,Nupharamine,C15H25NO2,251.1885,251.36,,,,
C17465,Parishin B,C32H40O19,728.2164,728.65,,,,
C17466,Parishin C,C32H40O19,728.2164,728.65,,,,
C17467,p-Hydroxybenzyl alcohol;,C7H8O2,124.0524,124.14,,R12133 R12134,1.17.9.1,
C17468,Methylprotodioscin,C52H86O22,1062.5611,1063.22,,,,
C17469,Pseudoprotodioscin,C51H82O21,1030.5349,1031.18,,,,
C17470,Asparasaponin II,C45H74O18,902.4875,903.06,,,,
C17471,Ophiopogonone A,C18H14O6,326.0790,326.30,,,,
C17472,Ophiopogonone B,C18H16O5,312.0998,312.32,,,,
C17473,Methylophiopogonone A,C19H16O6,340.0947,340.33,,,,
C17474,Methylophiopogonone B,C19H18O5,326.1154,326.34,,,,
C17475,Ophiopogonanone A,C18H16O6,328.0947,328.31,,,,
C17476,Osthenol-7-O-beta-D-gentiobioside,C26H34O13,554.1999,554.54,,,,
C17477,D-Galacturonic acid calcium salt,C12H18CaO14,426.0322,426.34,,,,
C17478,Calcium oxalate,C2O4. Ca,127.9422,128.10,,,,
C17479,Fraxidin;,C11H10O5,222.0528,222.19,,,,
C17480,Isofraxidin;,C11H10O5,222.0528,222.19,,,,
C17481,AGP;,,,,map00572  Arabinogalactan biosynthesis - Mycobacterium,R13278,2.3.1.-,
C17482,(-)-Deltoin,C19H20O5,328.1311,328.36,,,,
C17483,Hamaudol,C15H16O5,276.0998,276.28,,,,
C17484,sec-o-Glucosylhamaudol,C21H26O10,438.1526,438.42,,,,
C17485,Ignavine,C27H31NO5,449.2202,449.54,,,,
C17486,Coryneine,C11H18NO2,196.1338,196.27,,,,
C17487,Platycodin C,C59H94O29,1266.5881,1267.36,,,,
C17488,Furanogermenone,C15H20O2,232.1463,232.32,,,,
C17489,"(4S,5S)-(+)-Germacrone 4,5-epoxide",C15H22O2,234.1620,234.33,,,,
C17490,Zedoarol,C15H18O3,246.1256,246.30,,,,
C17491,13-Hydroxygermacrone,C15H22O2,234.1620,234.33,,,,
C17492,Curcumenone,C15H22O2,234.1620,234.33,,,,
C17493,Curdione,C15H24O2,236.1776,236.35,,,,
C17494,Turmerone,C15H22O,218.1671,218.33,,,,
C17495,[8]-Gingerol;,C19H30O4,322.2144,322.44,,,,
C17496,[10]-Gingerol;,C21H34O4,350.2457,350.49,,,,
C17497,Zingerone;,C11H14O3,194.0943,194.23,,,,
C17498,Galanolactone;,C20H30O3,318.2195,318.45,,,,
C17499,Notopterol,C21H22O5,354.1467,354.40,,,,
C17500,"6-Iminocyclohexa-2,4-dienone;",C6H5NO,107.0371,107.11,,R08762 R08763,1.10.3.4,
C17501,Cyperotundone;,C15H22O,218.1671,218.33,,,,
C17502,Sugetriol,C15H24O3,252.1725,252.35,,,,
C17503,Cnidilin;,C17H16O5,300.0998,300.30,,,,
C17504,Sugeonol,C15H22O2,234.1620,234.33,,,,
C17505,Cyperene;,C15H24,204.1878,204.35,,,,
C17506,Sugeonyl acetate,C17H24O3,276.1725,276.37,,,,
C17507,Palmatoside G,C25H32O10,492.1995,492.51,,,,
C17508,Isocolumbin,C20H22O6,358.1416,358.38,,,,
C17509,Thymine dimer;,C20H28N4O15P2(C5H8O5PR)n(C5H8O5PR)n,,,,R08765,4.1.99.3,
C17510,Two thymine residues (in DNA);,C20H28N4O15P2(C5H8O5PR)n(C5H8O5PR)n,,,,R08765,4.1.99.3,
C17512,N-Methylanthranilamide;,C8H10N2O,150.0793,150.18,,,,
C17513,trans-Crocetin (beta-D-glucosyl) (beta-D-gentibiosyl) ester;,C38H54O19,814.3259,814.82,map00999  Biosynthesis of various plant secondary metabolites,R09759 R10989 R10990,2.4.1.271       2.4.1.330,
C17514,4-o-Galloylbergenin,C21H20O13,480.0904,480.37,,,,
C17515,Capsi-amide;,C17H35NO,269.2719,269.47,,,,
C17516,Capsianside A,C76H124O33,1564.8025,1565.77,,,,
C17517,beta-Terpineol,C10H18O,154.1358,154.25,,,,
C17518,gamma-Terpineol,C10H18O,154.1358,154.25,,,,
C17519,Amaroswerin,C29H30O14,602.1636,602.54,,,,
C17520,11-o-Galloylbergenin,C21H20O13,480.0904,480.37,,,,
C17521,Mallotinic acid,C34H26O23,802.0865,802.55,,,,
C17522,Mallogenin-3-o-alpha-L-rhamnopyranoside;,C29H44O9,536.2985,536.65,,,,
C17523,Panogenin-3-o-alpha-L-rhamnopyranoside;,C29H44O10,552.2934,552.65,,,,
C17524,Coroglaucigenin-3-o-alpha-L-rhamnopyranoside,C29H44O9,536.2985,536.65,,,,
C17525,Corotoxigenin-3-O-alpha-L-rhamnopyranoside,C29H42O9,534.2829,534.64,,,,
C17526,Boivinide A;,C36H54O14,710.3514,710.80,,,,
C17527,Rengyol,C8H16O3,160.1099,160.21,,,,
C17528,beta-Hydroxyacteoside,C29H36O16,640.2003,640.58,,,,
C17529,(-)-Pinoresinol glucoside,C26H32O11,520.1945,520.52,,,,
C17530,Methyl acetate;,C3H6O2,74.0368,74.08,map00650  Butanoate metabolism,R10704 R10705,1.14.13.226     3.1.1.114,
C17531,Plantagoside,C21H22O12,466.1111,466.39,,,,
C17532,Metoxadiazone,C10H10N2O4,222.0641,222.20,,,,
C17533,Gambirtannine,C21H18N2O2,330.1368,330.38,,,,
C17534,Cylindrin,C31H52O,440.4018,440.74,,,,
C17535,Aplotaxene,C17H28,232.2191,232.40,,,,
C17536,Sibiricoside A,C57H94O28,1226.5932,1227.34,,,,
C17537,Sibiricoside B,C50H80O24,1064.5040,1065.15,,,,
C17538,Cimigenol,C30H48O5,488.3502,488.70,,,,
C17539,Chikusetsusaponin III,C47H80O17,916.5396,917.13,,,,
C17540,Chikusetsusaponin IV;,C47H74O18,926.4875,927.08,,,,
C17541,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine;,C96H160N10O26P2,1931.0980,1932.29,map00550  Peptidoglycan biosynthesis,R08776 R08777,2.3.2.16        2.3.2.17,
C17542,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine;,C100H166N12O28P2,2045.1410,2046.40,map00550  Peptidoglycan biosynthesis,R08777 R08778,2.3.2.17        2.3.2.18,
C17543,Chikusetsusaponin V;,C48H76O19,956.4981,957.10,,,,
C17544,Chikusetsusaponin Ia,C41H70O12,754.4867,754.99,,,,
C17545,Chikusetsusaponin Ib,C47H74O18,926.4875,927.08,,,,
C17546,Akeboside Stf,C47H76O17,912.5083,913.09,,,,
C17547,Akeboside Std;,C41H66O13,766.4503,766.95,,,,
C17548,Akeboside Ste,C47H76O16,896.5133,897.09,,,,
C17549,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine,C100H166N10O28P2,2017.1348,2018.38,map00550  Peptidoglycan biosynthesis,R08780,2.3.2.-,
C17550,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine,C97H161N9O27P2,1946.0977,1947.31,map00550  Peptidoglycan biosynthesis,R08779 R08780,2.3.2.10        2.3.2.-,
C17551,2-Polyprenyl-6-hydroxyphenol;,C11H14O2(C5H8)n,,,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R08768 R08769 R13439,1.14.13.240     1.97.1.15       2.1.1.222,
C17552,2-Polyprenyl-6-methoxyphenol;,C12H16O2(C5H8)n,,,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R08769 R08772 R12658 R13426 R13440,1.14.13.-       1.14.15.46      1.97.1.15       2.1.1.222,
C17553,Condurango glycoside A,C53H78O17,986.5239,987.17,,,,
C17554,"3,4-Dihydroxy-5-polyprenylbenzoate;",C12H14O4(C5H8)n,,,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R08770 R08771,1.14.15.45      2.1.1.114,
C17555,Icariin,C33H40O15,676.2367,676.66,,,,
C17556,"di-trans,poly-cis-Undecaprenyl phosphate;",C55H91O4P,846.6655,847.28,map00550  Peptidoglycan biosynthesis,R01535 R05626 R05627 R05629 R05630 R07257 R07661 R08856,2.4.1.54        2.4.2.43        2.4.2.53        2.7.1.66,
C17557,Lonicerin,C21H26N2O4,370.1893,370.44,,,,
C17558,"di-trans,poly-cis-Undecaprenol;",C55H90O,766.6992,767.30,map00550  Peptidoglycan biosynthesis,R05626,2.7.1.66,
C17559,3-Methoxy-4-hydroxy-5-polyprenylbenzoate;,C13H16O4(C5H8)n,,,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R08771 R08772,2.1.1.114       4.1.1.130,
C17560,"2-Polyprenyl-6-methoxy-1,4-benzoquinone",C12H14O3(C5H8)n,,,,,,
C17561,"2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone;",C13H16O3(C5H8)n,,,,R13408,1.14.13.253,
C17562,"2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone;",C13H16O4(C5H8)n,,,,R13408,1.14.13.253,
C17563,Multinoside A,C27H30O16,610.1534,610.52,,,,
C17564,Zizybeoside I,C19H28O11,432.1632,432.42,,,,
C17565,Zizybeoside II,C25H38O16,594.2160,594.56,,,,
C17566,Coixenolide,C38H70O4,590.5274,590.96,,,,
C17567,Lotusine;,C19H24NO3,314.1756,314.40,,,,
C17568,Ubiquinone-6;,C39H58O4,590.4335,590.87,,,,
C17569,Ubiquinone-8;,C49H74O4,726.5587,727.11,,,,
C17570,"2-Methyl-6-solanyl-1,4-benzoquinol;",C52H80O2,736.6158,737.19,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R08782 R10709,2.1.1.295       2.5.1.117,
C17571,5'-Hydroxystreptomycin,C21H39N7O13,597.2606,597.57,,,,
C17572,Bluensidine 6-phosphate,C8H17N4O9P,344.0733,344.22,,,,
C17573,Bluensomycin,C21H39N5O14,585.2494,585.56,,,,
C17574,2-epi-Streptamine,C6H14N2O4,178.0954,178.19,,,,
C17575,Actinamine;,C8H18N2O4,206.1267,206.24,,,,
C17576,3-Keto-scyllo-inosamine,C6H11NO5,177.0637,177.16,,,,
C17577,myo-Inosose-5,C6H10O6,178.0477,178.14,,,,
C17578,neo-Inosamine-2;,C6H13NO5,179.0794,179.17,,,,
C17579,Hygromycin A,C23H29NO12,511.1690,511.47,,,,
C17580,2-Deoxy-scyllo-inosamine,C6H13NO4,163.0845,163.17,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08890 R08892 R08893 R10130,1.1.1.329       1.1.99.38       2.6.1.100,
C17581,"3-Amino-2,3-dideoxy-scyllo-inosose;",C6H11NO4,161.0688,161.16,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08891 R08892 R08893 R10130,1.1.1.329       1.1.99.38       2.6.1.101,
C17582,2'-N-Acetylparomamine,C14H27N3O8,365.1798,365.38,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08894 R08895,2.4.1.283       3.5.1.112,
C17583,6'-Dehydro-6'-oxoparomamine;,C12H23N3O7,321.1536,321.33,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08896 R08897,1.1.3.43        2.6.1.93,
C17584,Xylostasin,C17H34N4O10,454.2275,454.47,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R11266,1.1.1.-,
C17585,Butirosin A,C21H41N5O12,555.2752,555.58,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08911,,
C17586,Butirosin B,C21H41N5O12,555.2752,555.58,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08910 R08911,4.3.2.6,
C17587,2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C,C25H47N5O15,657.3069,657.67,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08900 R08901,2.4.1.285       3.5.1.113,
C17588,6'''-Deamino-6'''-hydroxyneomycin C;,C23H45N5O14,615.2963,615.63,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08901 R08902,1.1.3.44        3.5.1.113,
C17589,6'''-Deamino-6'''-oxoneomycin C;,C23H43N5O14,613.2807,613.61,"map00524  Neomycin, kanamycin and gentamicin biosynthesis",R08902 R08903,1.1.3.44        2.6.1.95,
C17590,Catechin;,C15H14O6,290.0790,290.27,,,,
C17591,(S)-Corytuberine,C19H21NO4,327.1471,327.37,map00950  Isoquinoline alkaloid biosynthesis,R08790 R08791,1.14.19.51      2.1.1.337,
C17592,Laudanine,C20H25NO4,343.1784,343.42,map00950  Isoquinoline alkaloid biosynthesis,R08787 R08788,2.1.1.291,
C17593,Uncarine A,C21H24N2O4,368.1736,368.43,,,,
C17594,Uncarine B;,C21H24N2O4,368.1736,368.43,,,,
C17595,Uncarine C,C21H24N2O4,368.1736,368.43,,,,
C17596,Uncarine D;,C21H24N2O4,368.1736,368.43,,,,
C17597,Uncarine E,C21H24N2O4,368.1736,368.43,,,,
C17598,Uncarine F,C21H24N2O4,368.1736,368.43,,,,
C17599,Methylarbutin,C13H18O7,286.1053,286.28,,,,
C17600,Multiflorin B,C27H30O15,594.1585,594.52,,,,
C17601,2(5H)-Furanone;,C4H4O2,84.0211,84.07,,,,
C17602,2(3H)-Furanone;,C4H4O2,84.0211,84.07,,,,
C17603,Kikkanol A,C15H26O3,254.1882,254.36,,,,
C17604,Kikkanol B,C15H24O2,236.1776,236.35,,,,
C17605,Kikkanol C,C15H24O3,252.1725,252.35,,,,
C17606,Kikkanol D,C15H26O3,254.1882,254.36,,,,
C17607,Kikkanol E,C15H24O3,252.1725,252.35,,,,
C17608,Kikkanol F,C15H26O3,254.1882,254.36,,,,
C17609,Chrysantherol,C15H22O2,234.1620,234.33,,,,
